INFO:root:[REPLICATOR SENDER] Started a server on 127.0.0.1:12345.
INFO:root:[WRITER] Successfully started a 0. writer.
INFO:root:[WRITTER] Successfully connected to ReplicatorSender
INFO:root:[WRITER] Writer sent a CODE_CUSTOM:64 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CUSTOM:64.
INFO:root:[REPLICATOR SENDER] send CODE_CUSTOM:64 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_DIGITAL:45 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_DIGITAL:45.
INFO:root:[REPLICATOR SENDER] send CODE_DIGITAL:45 to Replicator Receiver.
INFO:root:[WRITER] Successfully started a 1. writer.
INFO:root:[WRITTER] Successfully connected to ReplicatorSender
INFO:root:[WRITER] Writer sent a CODE_ANALOG:64 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_ANALOG:64.
INFO:root:[REPLICATOR SENDER] send CODE_ANALOG:64 to Replicator Receiver.
INFO:root:[WRITER] Successfully started a 2. writer.
INFO:root:[WRITTER] Successfully connected to ReplicatorSender
INFO:root:[WRITER] Writer sent a CODE_SOURCE:45 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SOURCE:45.
INFO:root:[REPLICATOR SENDER] send CODE_SOURCE:45 to Replicator Receiver.
INFO:root:[WRITER] Successfully started a 3. writer.
INFO:root:[WRITTER] Successfully connected to ReplicatorSender
INFO:root:[WRITER] Writer sent a CODE_LIMITSET:70 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_LIMITSET:70.
INFO:root:[REPLICATOR SENDER] send CODE_LIMITSET:70 to Replicator Receiver.
INFO:root:[WRITER] Successfully started a 4. writer.
INFO:root:[WRITTER] Successfully connected to ReplicatorSender
INFO:root:[WRITER] Writer sent a CODE_ANALOG:64 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_ANALOG:64.
INFO:root:[REPLICATOR SENDER] send CODE_ANALOG:64 to Replicator Receiver.
INFO:root:[WRITER] Successfully started a 5. writer.
INFO:root:[WRITTER] Successfully connected to ReplicatorSender
INFO:root:[WRITER] Writer sent a CODE_SINGLENOE:38 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SINGLENOE:38.
INFO:root:[REPLICATOR SENDER] send CODE_SINGLENOE:38 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CONSUMER:84 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CONSUMER:84.
INFO:root:[REPLICATOR SENDER] send CODE_CONSUMER:84 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_SOURCE:87 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SOURCE:87.
INFO:root:[REPLICATOR SENDER] send CODE_SOURCE:87 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CUSTOM:97 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CUSTOM:97.
INFO:root:[REPLICATOR SENDER] send CODE_CUSTOM:97 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_SOURCE:8 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SOURCE:8.
INFO:root:[REPLICATOR SENDER] send CODE_SOURCE:8 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_DIGITAL:19 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_DIGITAL:19.
INFO:root:[REPLICATOR SENDER] send CODE_DIGITAL:19 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CUSTOM:14 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CUSTOM:14.
INFO:root:[REPLICATOR SENDER] send CODE_CUSTOM:14 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_ANALOG:91 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_ANALOG:91.
INFO:root:[REPLICATOR SENDER] send CODE_ANALOG:91 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CONSUMER:4 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CONSUMER:4.
INFO:root:[REPLICATOR SENDER] send CODE_CONSUMER:4 to Replicator Receiver.
WARNING:root:[WRITER] Writer 4 successfully closed.
INFO:root:[WRITER] Writer sent a CODE_CONSUMER:48 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CONSUMER:48.
INFO:root:[REPLICATOR SENDER] send CODE_CONSUMER:48 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_DIGITAL:63 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_DIGITAL:63.
INFO:root:[REPLICATOR SENDER] send CODE_DIGITAL:63 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_MULTIPLENODE:5 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_MULTIPLENODE:5.
INFO:root:[REPLICATOR SENDER] send CODE_MULTIPLENODE:5 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_MULTIPLENODE:48 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_MULTIPLENODE:48.
INFO:root:[REPLICATOR SENDER] send CODE_MULTIPLENODE:48 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_SOURCE:65 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_SOURCE:65.
INFO:root:[REPLICATOR SENDER] send CODE_SOURCE:65 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_ANALOG:56 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_ANALOG:56.
INFO:root:[REPLICATOR SENDER] send CODE_ANALOG:56 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CUSTOM:4 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CUSTOM:4.
INFO:root:[REPLICATOR SENDER] send CODE_CUSTOM:4 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_ANALOG:67 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_ANALOG:67.
INFO:root:[REPLICATOR SENDER] send CODE_ANALOG:67 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_CUSTOM:60 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_CUSTOM:60.
INFO:root:[REPLICATOR SENDER] send CODE_CUSTOM:60 to Replicator Receiver.
INFO:root:[WRITER] Writer sent a CODE_MULTIPLENODE:46 to ReplicatorSender.
INFO:root:[REPLICATOR SENDER] Received a message from: CODE_MULTIPLENODE:46.
